Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2021/2022,Premier League,0,2.7417799999999994,2.3597967063204215,8.366684999999999,9.613702532349333
2021/2022,Premier League,25,1.84383,2.118497740574518,6.68861,8.250864294060351
2021/2022,Premier League,50,1.40462,1.7249293733747486,4.9038650000000015,6.655725389429765
2021/2022,Premier League,75,1.3735400000000002,1.7415928260083011,4.37915,5.217981344255651
2021/2022,EFL Championship,0,5.4682916666666666,3.2949679850416387,12.926795833333335,16.7108047331285
2021/2022,EFL Championship,25,4.265358333333334,3.0038016754161743,9.763958333333333,12.340173505769682
2021/2022,EFL Championship,50,2.844983333333333,2.532666653650946,5.839975,7.818548382479107
2021/2022,EFL Championship,75,1.3393749999999998,1.8801773900419025,3.4591791666666665,4.303228572295069
2022/2023,Premier League,0,3.92324,2.9961377722748104,13.234414999999998,14.996577064800487
2022/2023,Premier League,25,3.1711,2.756184057356835,9.899215,11.903810969034245
2022/2023,Premier League,50,1.69362,2.007180054966052,4.609645000000001,6.0287324770220145
2022/2023,Premier League,75,1.3502399999999999,1.739765906014106,3.4012749999999996,4.008549460652818
2022/2023,EFL Championship,0,4.532516666666667,2.9419308389989545,8.389095833333334,10.578894468212797
2022/2023,EFL Championship,25,5.070941666666666,3.026143027666246,8.766629166666668,10.80232590670099
2022/2023,EFL Championship,50,3.406216666666667,2.5565154559613203,5.5897291666666655,6.871594408535523
2022/2023,EFL Championship,75,2.130933333333333,2.2716186116664216,3.8793375000000005,5.04922698048094
2023/2024,Premier League,0,2.7279500000000008,2.389397820888268,9.076239999999999,10.828400864393597
2023/2024,Premier League,25,2.1683499999999998,2.2513751522480545,6.919534999999999,9.525561059774905
2023/2024,Premier League,50,1.4544399999999995,1.8241155586721582,4.906155,6.247309572007778
2023/2024,Premier League,75,1.44625,1.984947521792903,3.749730000000001,4.658447230140104
2023/2024,EFL Championship,0,4.407808333333333,2.817173841840315,10.0538875,11.76604884418512
2023/2024,EFL Championship,25,2.955591666666667,2.505868852188448,7.200020833333333,8.947738983885817
2023/2024,EFL Championship,50,2.6391,2.2754034428723027,5.461020833333333,7.23235217993312
2023/2024,EFL Championship,75,1.8759916666666665,1.9386071413529606,4.284904166666666,5.332318477102619
2024/2025,Premier League,0,2.98881,2.522842560744889,10.705950000000001,13.303332132552354
2024/2025,Premier League,25,1.93814,2.154627472898902,7.88053,9.84288817116196
2024/2025,Premier League,50,1.3829400000000005,1.7380885379440296,5.541435,6.712724837463546
2024/2025,Premier League,75,1.2016000000000002,1.6373701919578683,3.65332,4.5404678035418335
2024/2025,EFL Championship,0,4.8378,3.022873136746954,9.755424999999999,12.792743608780722
2024/2025,EFL Championship,25,4.067325,2.7374240298236665,7.518104166666667,8.897129634302479
2024/2025,EFL Championship,50,2.791291666666666,2.4279026442776916,5.9181833333333325,6.887115922745408
2024/2025,EFL Championship,75,2.251066666666667,2.2389491800799135,4.812358333333333,5.543243318822173
2025/2026,Premier League,0,3.8757900000000007,inf,10.466559999999998,14.872192534929072
2025/2026,Premier League,25,2.94315,2.697565963492562,8.98255,10.892998134719386
2025/2026,Premier League,50,2.4142599999999996,2.27347910845972,6.619659999999999,7.746542771133456
2025/2026,Premier League,75,1.55993,1.8010034073634933,3.7290749999999995,4.295872975833899
2025/2026,EFL Championship,0,5.7536249999999995,3.202769682240922,12.410504166666668,15.97247933518515
2025/2026,EFL Championship,25,5.069325,2.986069876136447,9.551791666666666,12.431276592731738
2025/2026,EFL Championship,50,4.4730333333333325,2.765087775846562,7.4720208333333344,9.269744731180571
2025/2026,EFL Championship,75,1.9539583333333332,2.0871332390697193,3.924795833333333,4.700849587530251
