Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
1900/1901,Football League First Division,0,5.289722222222221,inf,6.008677777777777,7.2290740721063305
1900/1901,Football League First Division,25,2.7091777777777772,inf,2.8736888888888887,4.404717474102813
1900/1901,Football League First Division,50,2.7344333333333335,2.7939600107777407,3.369211111111111,3.948009216048008
1900/1901,Football League First Division,75,1.7876444444444444,2.1020212768731965,1.892322222222223,2.415453265722376
1900/1901,Football League Second Division,0,4.227288888888889,3.235201295850133,6.080000000000001,7.001757743674878
1900/1901,Football League Second Division,25,2.9846888888888885,2.7892899991284574,3.9999333333333333,5.114315512363311
1900/1901,Football League Second Division,50,2.5126444444444442,2.567612875134599,3.358822222222222,3.976425229468744
1900/1901,Football League Second Division,75,1.1308444444444445,1.544589369744807,1.5790000000000004,1.9309684513217718
1976/1977,Football League First Division,0,5.573627272727271,3.9764765442166436,7.256890909090908,8.927185073593009
1976/1977,Football League First Division,25,3.800981818181818,3.2580022628337746,5.614727272727273,6.447611448224276
1976/1977,Football League First Division,50,2.490772727272727,2.9255946465194698,4.081536363636363,5.130544517885016
1976/1977,Football League First Division,75,1.8585181818181817,2.2330930358871743,2.347772727272727,2.7752784784102786
1976/1977,Football League Second Division,0,4.653309090909091,3.2351472829924663,5.834609090909091,7.479890815318825
1976/1977,Football League Second Division,25,3.35440909090909,2.514140668032877,4.091018181818182,4.887519731092467
1976/1977,Football League Second Division,50,1.808290909090909,2.0279387312784007,2.6723818181818184,3.3846902549300104
1976/1977,Football League Second Division,75,1.898290909090909,2.189932748585512,2.8007545454545455,3.140902102320866
1929/1930,Football League First Division,0,5.109818181818181,3.1138292255175926,4.700745454545454,5.5945427915392365
1929/1930,Football League First Division,25,4.309536363636362,3.142932732401921,4.289127272727273,5.256665209305922
1929/1930,Football League First Division,50,4.404454545454545,3.266849219490669,4.2049818181818175,5.172628107469337
1929/1930,Football League First Division,75,2.3255181818181816,2.3184259609752425,1.9305727272727276,2.4098613607802877
1929/1930,Football League Second Division,0,4.41788181818182,3.087231848358393,4.699536363636364,6.662051758484564
1929/1930,Football League Second Division,25,3.9188454545454543,3.4532109057780405,5.142372727272728,6.365212821193876
1929/1930,Football League Second Division,50,2.475245454545455,2.622365352494109,2.761354545454546,3.7014068336487704
1929/1930,Football League Second Division,75,2.226181818181819,2.556447583934865,2.688518181818182,3.262358739958225
1908/1909,Football League First Division,0,4.736199999999998,3.1558407720497,4.465279999999998,5.746093336694071
1908/1909,Football League First Division,25,4.086160000000001,inf,5.14384,6.346540473045138
1908/1909,Football League First Division,50,3.6320899999999994,inf,4.352410000000001,5.12498762905824
1908/1909,Football League First Division,75,3.2975700000000003,3.021210686528677,2.9411199999999997,3.4614112867441795
1908/1909,Football League Second Division,0,3.74527,3.20521860834573,6.018790000000001,7.029080101691829
1908/1909,Football League Second Division,25,3.3547800000000008,3.139312515830001,4.9830499999999995,6.5117476919794735
1908/1909,Football League Second Division,50,2.80391,2.9837465958758846,3.8133500000000007,4.792329203633657
1908/1909,Football League Second Division,75,1.7938900000000004,2.3198165213851776,1.96678,2.6069536486098097
1927/1928,Football League First Division,0,5.833718181818181,3.3842076043690423,4.5216090909090925,5.675663866736808
1927/1928,Football League First Division,25,4.345254545454545,3.1808092282292577,4.389536363636363,5.339759187113557
1927/1928,Football League First Division,50,5.062245454545454,3.464776869452959,3.7784636363636355,4.471955192083212
1927/1928,Football League First Division,75,4.431272727272727,3.711037353357381,3.1341545454545456,3.675502240634482
1927/1928,Football League Second Division,0,3.5568545454545455,2.639620471207,5.264572727272728,6.1780462078527405
1927/1928,Football League Second Division,25,2.9888727272727276,2.6003374374303654,4.007418181818182,4.769321404560611
1927/1928,Football League Second Division,50,2.078990909090909,2.32512295294185,3.319754545454544,4.393110797497703
1927/1928,Football League Second Division,75,1.5446363636363636,1.8921221065639215,2.4501363636363642,2.791346654150352
