Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2022/2023,Premier League,0,4.01418,3.7533897305800386,13.073694999999997,14.794448023954798
2022/2023,Premier League,10,3.56857,3.252166378261843,11.150295000000002,12.885300341066948
2022/2023,Premier League,20,3.12958,3.0569037834947688,9.803639999999998,11.48382136890852
2022/2023,Premier League,30,3.09115,inf,9.175114999999998,10.993227895504578
2022/2023,Premier League,40,2.41604,2.6708202622584194,7.134659999999999,8.75987078671826
2022/2023,Premier League,50,1.6904499999999998,2.0527995557776415,4.543100000000002,5.977641523962441
2022/2023,Premier League,60,1.6650600000000004,2.0130657330725255,4.151020000000001,5.573600465408334
2022/2023,Premier League,70,1.45516,1.9946018459451664,3.976835,4.862290622690091
2022/2023,Premier League,80,0.8250399999999999,1.296458325945367,2.6550849999999997,3.3143028121310825
2022/2023,Premier League,90,0.63981,1.0549008247398661,2.3493000000000017,2.7216770684634883
2022/2023,EFL Championship,0,4.553583333333333,3.1684365259441107,8.284695833333332,10.27293134579496
2022/2023,EFL Championship,10,4.7221,3.138551903393233,8.2862375,10.130147016599349
2022/2023,EFL Championship,20,4.860191666666666,3.168484022623692,8.261470833333334,9.925371984150015
2022/2023,EFL Championship,30,5.192458333333334,3.219819707041425,8.706995833333332,10.499539372932032
2022/2023,EFL Championship,40,4.136383333333333,3.001948473382438,7.311112499999999,8.93329162419523
2022/2023,EFL Championship,50,3.447991666666667,2.6377300159016186,5.663554166666667,6.9059763848966345
2022/2023,EFL Championship,60,2.765125,2.4608575497284377,4.379333333333334,5.503751860927841
2022/2023,EFL Championship,70,1.9587916666666665,2.134863591226748,3.3600791666666674,4.153235032327211
2022/2023,EFL Championship,80,2.11375,2.3868882864297567,4.062570833333334,5.220050033245212
2022/2023,EFL Championship,90,1.3693916666666663,1.6851124077250994,2.8391791666666664,3.328547182017504
2022/2023,EFL League One,0,4.270225,inf,11.2652625,15.316027397481916
2022/2023,EFL League One,10,3.7033083333333336,3.164526695198998,10.5714625,12.75460615952462
2022/2023,EFL League One,20,3.216691666666667,2.9392983934815895,8.402612499999998,10.935622357213298
2022/2023,EFL League One,30,2.4566416666666666,2.460218519824083,6.684787499999999,8.244157158431458
