Team,Wpg,Dpg,GFpg,GApg,Rend,W,D,GF,GA,PTS_wd
AFC Bournemouth,0.3780376460567339,0.2557191395852265,1.3933022432128614,1.3818727351777436,2093.9970101475064,14.365430550155889,9.717327304238609,52.945485242088736,52.51116393675426,52.81361895470627
Arsenal,0.5800709857122581,0.2409436083786487,1.8555252559964976,0.9178339617136064,2246.1767922838176,22.04269745706581,9.155857118388651,70.50995972786691,34.87769054511705,75.28394948958608
Aston Villa,0.36540746461473084,0.29036717970933235,1.327019288253492,1.3645606924204785,2065.513596294521,13.885483655359772,11.033952828954629,50.426732953632694,51.85330631197818,52.690403795033944
Brentford,0.39337363085658167,0.2577138432770392,1.440443403858056,1.253451331163483,2036.168790568159,14.948197972550103,9.79312604452749,54.73684934660613,47.63115058421235,54.6377199621778
Brighton & Hove Albion,0.3845562744263334,0.28266059292309476,1.2910077574260066,1.1993102626945342,2046.0263145466215,14.613138428200669,10.741102531077601,49.05829478218825,45.5737899823923,54.580517815679606
Chelsea,0.41622090533429035,0.24912441668268884,1.6299242954010007,1.3839602561889603,2037.7537925778474,15.816394402703033,9.466727833942176,61.937123225238025,52.59048973518049,56.91591104205128
Coventry City,0.3001741435231457,0.29630390806926016,1.5867288805514224,1.2527517626247417,1880.2940067204077,11.406617453879537,11.259548506631885,60.29569746095405,47.604566979740184,45.479400868270496
Crystal Palace,0.3331143848372904,0.2875322992990034,1.373231062964035,1.296963232428832,1996.9558921631415,12.658346623817035,10.92622737336213,52.182780392633326,49.28460283229562,48.90126724481323
Everton,0.3495008008723491,0.2962924625595951,1.272221524674909,1.33824395522744,2020.3365861836376,13.281030433149265,11.259113577264614,48.34441793764654,50.85327029864273,51.102204876712406
Fulham,0.3121387273212304,0.2559269564365224,1.4300095977367622,1.3878217313363395,1996.0400699417967,11.861271638206755,9.725224344587852,54.34036471399696,52.7372257907809,45.30903925920811
Hull City,0.14127029010991807,0.2610781488024887,0.6629462823264062,1.3214303291631433,1715.5400842414026,5.368271024176886,9.92096965449457,25.191958728403435,50.21435250819945,26.02578272702523
Ipswich Town,0.28497310975184664,0.17077212221212462,0.9912848731093491,1.4169919686531498,1842.5477634254423,10.828978170570172,6.489340644060736,37.66882517815527,53.845694808819694,38.97627515577125
Leeds United,0.3855774805893155,0.27218175979712317,1.3981538033825949,1.413057704439434,1994.8796911075606,14.65194426239399,10.34290687229068,53.129844528538605,53.69619276869849,54.298739659472645
Liverpool,0.49755234348310845,0.24695966124723562,1.9695095270816179,1.3405078105340178,2172.265501809514,18.90698905235812,9.384467127394954,74.84136202910148,50.939296800292674,66.10543428446931
Manchester City,0.5997293756029398,0.18830595772322103,2.1366502442071873,0.9787616237266299,2248.1321175497583,22.78971627291171,7.155626393482399,81.19270927987311,37.192941701611936,75.52477521221753
Manchester United,0.4989017960362868,0.3031807347408777,1.672509778927819,1.2834609415712932,2105.84393840614,18.9582682493789,11.520867920153353,63.55537159925712,48.77151577970914,68.39567266829005
Newcastle United,0.37547692142208705,0.22610592528363124,1.3249589662382606,1.4172438635538231,2014.482679376443,14.268123014039308,8.592025160777988,50.348440717053904,53.85526681504528,51.39639420289591
Nottingham Forest,0.3736486063223159,0.30251323878464026,1.2977690927950654,1.199567992014642,2019.0582376902316,14.198647040248003,11.49550307381633,49.31522552621249,45.583583696556396,54.09144419456034
Sunderland,0.26639440732295444,0.2614650172444185,0.9564648977930887,1.288405982100744,1896.2707499942398,10.122987478272268,9.935670655287904,36.34566611613737,48.95942731982827,40.30463309010471
Tottenham Hotspur,0.3438017962718619,0.2605989854982436,1.533491157387419,1.3252400782179037,1948.4162682005979,13.064468258330752,9.902761448933257,58.27266398072192,50.35912297228034,49.096166223925515
