Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
2024/2025,Premier League,0,2.8104999999999998,inf,10.624649999999999,13.118277708982989
2024/2025,Premier League,5,2.4887000000000006,2.5802120701573936,10.80555,12.801742828615172
2024/2025,Premier League,10,2.3169999999999993,2.47977333696039,10.01595,11.997044142204361
2024/2025,Premier League,15,2.4230000000000005,2.4963311973315285,9.9545,12.32931181777799
2024/2025,Premier League,20,2.3981000000000003,inf,9.9496,12.438223136766762
2024/2025,Premier League,25,1.8917000000000002,inf,7.872449999999998,9.77012636305181
2024/2025,Premier League,30,2.108299999999999,inf,8.0559,9.919612109351858
2024/2025,Premier League,35,1.9770999999999996,inf,8.45175,9.916209812725828
2024/2025,Premier League,40,1.7177999999999998,inf,7.05165,8.383808004123187
2024/2025,Premier League,45,1.5913,inf,6.579249999999999,7.70609232036575
2024/2025,Premier League,50,1.4131,1.7168878822366458,5.565249999999998,6.750687005779485
2024/2025,Premier League,55,1.3514,1.8612642250037985,5.2613,6.340703659689516
2024/2025,Premier League,60,1.1641,1.6802303808899635,4.71555,5.5659428266916295
2024/2025,Premier League,65,1.3416000000000001,1.7035934500992966,4.876799999999998,5.634819083164958
2024/2025,Premier League,70,1.0771000000000002,1.6153453062367038,3.8508999999999993,4.91756943011484
2024/2025,Premier League,75,1.2171,1.6888549332771898,3.65835,4.556616590190576
2024/2025,Premier League,80,1.0272999999999997,1.487241299893938,3.193,3.743386528265549
2024/2025,Premier League,85,0.9407000000000003,1.4257227641884245,2.950649999999999,3.606761241058243
2024/2025,Premier League,90,0.8465000000000001,1.1920547185230015,2.3021000000000003,2.885129026577494
2024/2025,Premier League,95,0.6705000000000002,0.9467501429176599,1.6797499999999992,1.9836658614796987
2024/2025,EFL Championship,0,4.921583333333333,inf,9.82475,12.646957012130098
2024/2025,EFL Championship,5,4.278,2.9196049186302226,8.411166666666666,10.430259540554747
2024/2025,EFL Championship,10,3.9120000000000004,2.8275231222330954,7.806333333333332,9.502962739763495
