Season,Division,SimulationStart,posn_mae,posn_log,points_mae,points_rmse
1900/1901,Football League First Division,0,5.140355555555555,3.2067935696312815,6.067422222222222,7.354566921383686
1900/1901,Football League First Division,25,2.8067555555555552,2.612046253158383,2.8419888888888893,4.41430645099922
1900/1901,Football League First Division,50,2.710055555555556,2.648037857430772,3.3564777777777786,3.9448104743940355
1900/1901,Football League First Division,75,1.7808222222222219,2.09519445269887,1.9002888888888887,2.420040037318024
1900/1901,Football League Second Division,0,4.056722222222223,2.888969200640166,6.1378111111111116,7.041363838458823
1900/1901,Football League Second Division,25,3.0501222222222224,2.583946318333285,4.027988888888888,5.136684598065177
1900/1901,Football League Second Division,50,2.469688888888889,2.4032318448855237,3.3579777777777777,4.0144778408212
1900/1901,Football League Second Division,75,1.135244444444445,1.5657291888921947,1.583644444444444,1.9377894588078104
1976/1977,Football League First Division,0,5.252809090909091,3.2524602506516147,7.507154545454548,9.166437302910103
1976/1977,Football League First Division,25,3.7924909090909087,2.883480898193597,5.743272727272727,6.607229823940108
1976/1977,Football League First Division,50,2.537954545454546,2.6069016981998767,4.10790909090909,5.164734037858889
1976/1977,Football League First Division,75,1.8515000000000001,2.1993095212543077,2.3617363636363637,2.7916734321582424
1976/1977,Football League Second Division,0,4.63299090909091,2.94837266262422,5.917381818181818,7.668818423803807
1976/1977,Football League Second Division,25,3.530463636363636,2.6264604093814157,4.136527272727273,4.9621231350373325
1976/1977,Football League Second Division,50,1.8817727272727274,2.1347066647511235,2.6734727272727272,3.406748952647323
1976/1977,Football League Second Division,75,1.883390909090909,2.137300729864777,2.803363636363636,3.146634069345153
1929/1930,Football League First Division,0,4.972163636363636,2.981020243341609,4.798090909090909,5.688900209818478
1929/1930,Football League First Division,25,4.356863636363636,2.9363881107509524,4.286718181818181,5.293640205515913
1929/1930,Football League First Division,50,4.31639090909091,2.9472788101378695,4.225900000000001,5.202654257815297
1929/1930,Football League First Division,75,2.3295,2.2859712096772076,1.939609090909091,2.4234617143476997
1929/1930,Football League Second Division,0,4.614981818181818,2.9908716769684163,4.678036363636364,6.714581444005414
1929/1930,Football League Second Division,25,3.919336363636363,3.0249247314624133,5.178163636363636,6.408543002331127
1929/1930,Football League Second Division,50,2.594618181818182,2.52851239053284,2.762445454545455,3.7119413885214008
1929/1930,Football League Second Division,75,2.2368272727272727,2.4779184251894995,2.699018181818182,3.276075976752454
1908/1909,Football League First Division,0,4.66291,2.9649107464883704,4.545350000000001,5.857113248264883
1908/1909,Football League First Division,25,3.9599900000000003,2.91942103346225,5.20172,6.442759861813879
1908/1909,Football League First Division,50,3.5770899999999997,2.968196161434535,4.3883,5.179081003421359
1908/1909,Football League First Division,75,3.25034,2.837984935722708,2.9579700000000004,3.4841494952140044
1908/1909,Football League Second Division,0,3.7199800000000005,2.7712391819953157,6.25556,7.285336685356414
1908/1909,Football League Second Division,25,3.3282,2.866899252174706,5.0281,6.625972960252707
1908/1909,Football League Second Division,50,2.7615600000000002,2.6835335789123356,3.8486300000000013,4.827068605168152
1908/1909,Football League Second Division,75,1.8366599999999997,2.245124003969159,1.9715499999999992,2.6178827714395463
1927/1928,Football League First Division,0,5.462454545454547,3.135948299327561,4.702663636363635,5.842465108854465
1927/1928,Football League First Division,25,4.451136363636365,2.970809897131277,4.465181818181818,5.450322718885552
1927/1928,Football League First Division,50,4.959518181818181,3.159730803001274,3.840372727272727,4.529931907375048
1927/1928,Football League First Division,75,4.3865181818181815,3.6199869161204785,3.1453999999999995,3.689481902282857
1927/1928,Football League Second Division,0,3.7540818181818194,2.705006711636675,5.259590909090909,6.153758688210587
1927/1928,Football League Second Division,25,2.999827272727273,2.498611934014832,4.019818181818182,4.808755325445453
1927/1928,Football League Second Division,50,2.0827727272727263,2.251772758428845,3.33869090909091,4.408742260966994
1927/1928,Football League Second Division,75,1.5378545454545454,1.8810131569912485,2.4435000000000002,2.784979929256876
